,cof,k_x,k_y,k_avg electrostatic
0,linker91_C_linker29_C_fxt_relaxed,0.3608865434369188,0.3691470742685623,0.36501680885274057
1,linker92_C_linker49_C_fxt_relaxed,0.6290995160402741,0.6366644246013413,0.6328819703208077
2,linker98_N_linker10_CH_htb_relaxed,0.3166022119699505,0.2741441627617503,0.2953731873658504
3,linker105_CH_linker68_N_krr_relaxed,0.5622358229709196,0.6316199086116984,0.596927865791309
4,linker102_CO_linker49_NH_kgm_relaxed,0.426772000044255,0.4282566664142639,0.42751433322925947
5,linker92_C_linker54_C_kgd-a_relaxed,0.5729683938423176,0.5702448390329045,0.571606616437611
6,linker91_C_linker34_C_fxt_relaxed,0.6051054993802558,0.6400482923352616,0.6225768958577587
7,linker93_NH_linker10_CH2_hcb_relaxed,0.2462750332641808,0.2469835932261516,0.24662931324516618
8,linker108_CO_linker12_NH_sql_relaxed,1.6010443933703415,1.555606025382533,1.5783252093764373
9,linker108_N_linker29_CH_kgm_relaxed,0.4557444466029705,0.4550091932204735,0.45537681991172196
10,linker111_CO_linker37_NH_sql_relaxed,0.3034335920055445,0.2324646458693733,0.2679491189374589
11,linker91_C_linker77_C_hca_relaxed,0.4889767450002721,0.485184160162894,0.48708045258158306
12,linker91_C_linker71_C_cem-a_relaxed,1.125903802491577,1.4260581156686778,1.2759809590801274
13,linker105_C_linker8_C_kgm_relaxed,0.800007899923438,0.7709381894120242,0.7854730446677312
14,linker96_N_linker12_CH_hnb_relaxed,0.4663994673684476,0.4350693357217006,0.4507344015450741
15,linker91_C_linker17_C_hnc_relaxed,0.4419036409298493,0.4523629431071969,0.4471332920185231
16,linker108_CO_linker30_NH_sql_relaxed,1.655888588587005,1.673345966719481,1.6646172776532429
17,linker96_C_linker70_C_hcb_relaxed,1.1234795377477698,1.0950008774001494,1.1092402075739596
18,linker92_C_linker71_C_kgd-a_relaxed,0.8342858703754273,0.8272097066871757,0.8307477885313015
19,linker107_N_linker49_CH_sql_relaxed,0.871223008572802,0.865462515577848,0.868342762075325
20,linker91_C_linker82_C_hne_relaxed,1.457789598970165,1.8895026458747453,1.673646122422455
21,linker91_N_linker6_CH_htb-a_relaxed,0.2447426718393518,0.2673854397807375,0.25606405581004466
22,linker91_C_linker70_C_htb-a_relaxed,0.8245847426843931,0.8184592467714791,0.8215219947279361
23,linker91_C_linker82_C_car_relaxed,1.660014928364558,1.372636744034854,1.516325836199706
24,linker91_C_linker3_C_hcb_relaxed,1.8320041497351431,1.7625660812519273,1.7972851154935352
25,linker92_C_linker9_C_hnc_relaxed,0.9141730433471597,0.911041738685546,0.9126073910163528
26,linker91_C_linker11_C_hnb_relaxed,0.6398378535162063,0.6324572212664838,0.636147537391345
27,linker100_C_linker3_C_kgm_relaxed,0.8173490207620913,0.8284119380158774,0.8228804793889843
28,linker92_C_linker23_C_tts-a_relaxed,0.5600995690181664,0.5746165422768758,0.5673580556475211
29,linker92_C_linker10_C_tts-a_relaxed,0.915967855592321,0.913620759723655,0.914794307657988
30,linker92_C_linker41_C_hcb_relaxed,1.6520324548610812,1.7235720839246276,1.6878022693928543
31,linker107_C_linker74_C_kgm_relaxed,0.5834002802849693,0.5756284072442861,0.5795143437646277
32,linker91_N_linker12_CH_hnb_relaxed,0.5020055125350266,0.5121180903033538,0.5070618014191901
33,linker104_C_linker6_C_kgm_relaxed,0.5595378278151922,0.5535319722649423,0.5565349000400672
34,linker105_N_linker3_CH_sql_relaxed,0.974016585049263,1.0194714767711068,0.9967440309101849
35,linker108_CH_linker78_N_kgm_relaxed,1.142647673028406,1.1011844179767083,1.1219160455025572
36,linker91_C_linker68_C_tts-a_relaxed,1.0667835735356734,1.0283484180115534,1.0475659957736134
37,linker107_C_linker66_C_kgm_relaxed,0.6383119661137402,0.5812960600689868,0.6098040130913636
38,linker93_C_linker88_C_kgd-a_relaxed,0.558754738895531,0.5549849264801634,0.5568698326878472
39,linker91_C_linker59_C_kgd-a_relaxed,1.2875442090100628,1.2507220134807933,1.269133111245428
40,linker91_C_linker82_C_tth-a_relaxed,0.8898861011840867,0.8374783375829136,0.8636822193835001
41,linker91_C_linker57_C_cem-a_relaxed,0.6364940229289133,0.7317222948847466,0.68410815890683
42,linker91_C_linker40_C_ply_relaxed,1.0574154616348144,1.02304146973813,1.0402284656864722
43,linker101_C_linker83_C_kgm_relaxed,0.7935424324202286,0.7981342234073131,0.7958383279137708
44,linker92_C_linker7_C_hca_relaxed,0.5771236473716188,0.5812079980446883,0.5791658227081535
45,linker91_C_linker40_C_hna_relaxed,0.9663903342776043,0.9301986962329843,0.9482945152552944
46,linker92_C_linker29_C_kgd-a_relaxed,0.4209788636842744,0.3984000252755227,0.4096894444798985
47,linker91_C_linker88_C_hna_relaxed,1.521781463391147,1.5615854323918437,1.5416834478914954
48,linker91_C_linker68_C_tth-a_relaxed,0.5669002535133575,0.5967852291358486,0.581842741324603
49,linker92_C_linker80_C_hca_relaxed,0.3706566116827778,0.3664199467586818,0.3685382792207298
50,linker108_N_linker18_CH_kgm_relaxed,0.6845575594472869,0.6964945053886524,0.6905260324179696
51,linker91_C_linker59_C_hnc_relaxed,1.85763947257288,1.743447576766464,1.800543524669672
52,linker108_C_linker3_C_kgm_relaxed,0.9999318181252228,0.9783629130810116,0.9891473656031172
53,linker91_C_linker64_C_fxt_relaxed,0.8811401722722192,0.864851535896201,0.8729958540842101
54,linker91_C_linker12_C_hna_relaxed,1.6045070241657935,1.5389345661539189,1.5717207951598562
55,linker94_C_linker28_C_hca_relaxed,0.3922689032201537,0.380033104490572,0.38615100385536283
56,linker98_C_linker74_C_sql_relaxed,0.9898844962827338,0.9664871790198862,0.97818583765131
57,linker92_C_linker14_C_ply_relaxed,0.4682633945334216,0.4356371555877739,0.4519502750605977
58,linker92_C_linker69_C_kgd-a_relaxed,0.8565384218708726,0.8208391534055445,0.8386887876382085
59,linker105_C_linker61_C_kgm_relaxed,0.7672741778804684,0.759820389727757,0.7635472838041126
60,linker91_C_linker6_C_fxt_relaxed,0.3747201030108165,0.3866487850126997,0.3806844440117581
61,linker92_C_linker72_C_hnb_relaxed,0.7313734721141443,0.7043343226666953,0.7178538973904198
62,linker91_C_linker71_C_htb-a_relaxed,0.977028174566283,0.9833652244257556,0.9801966994960193
63,linker92_C_linker10_C_kgd-a_relaxed,0.7785515534480196,0.7821604899490505,0.780356021698535
64,linker107_N_linker66_CH_sql_relaxed,1.1320307724436611,1.1645802981528757,1.1483055352982685
65,linker102_CO_linker38_NH_kgm_relaxed,0.4687390835735253,0.446924941855433,0.45783201271447915
66,linker92_N_linker12_CH_kgd-a_relaxed,0.5524064981346569,0.5167100757020089,0.534558286918333
67,linker93_NH_linker54_CH2_hcb_relaxed,0.1968881368633098,0.1918917824006307,0.19438995963197025
